bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
B000944,"Brown, Sherrod","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2007}]}",Ohio,Democratic,1952,1369.0,https://api.congress.gov/v3/member/B000944/sponsored-legislation,7774,https://api.congress.gov/v3/member/B000944/cosponsored-legislation,15,17
B001288,"Booker, Cory A.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",New Jersey,Democratic,1969,639.0,https://api.congress.gov/v3/member/B001288/sponsored-legislation,3063,https://api.congress.gov/v3/member/B001288/cosponsored-legislation,0,11
B001277,"Blumenthal, Richard","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",Connecticut,Democratic,1946,853.0,https://api.congress.gov/v3/member/B001277/sponsored-legislation,4903,https://api.congress.gov/v3/member/B001277/cosponsored-legislation,0,13
B001261,"Barrasso, John","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",Wyoming,Republican,1952,599.0,https://api.congress.gov/v3/member/B001261/sponsored-legislation,2006,https://api.congress.gov/v3/member/B001261/cosponsored-legislation,0,17
B001267,"Bennet, Michael F.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",Colorado,Democratic,1964,559.0,https://api.congress.gov/v3/member/B001267/sponsored-legislation,2607,https://api.congress.gov/v3/member/B001267/cosponsored-legislation,0,15
B001230,"Baldwin, Tammy","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 1999}, {'chamber': 'Senate', 'startYear': 2013}]}",Wisconsin,Democratic,1962,601.0,https://api.congress.gov/v3/member/B001230/sponsored-legislation,6121,https://api.congress.gov/v3/member/B001230/cosponsored-legislation,15,11
B001243,"Blackburn, Marsha","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2019}]}",Tennessee,Republican,1952,509.0,https://api.congress.gov/v3/member/B001243/sponsored-legislation,4001,https://api.congress.gov/v3/member/B001243/cosponsored-legislation,17,5
S001197,"Sasse, Ben","{'item': [{'chamber': 'Senate', 'endYear': 2023, 'startYear': 2015}]}",Nebraska,Republican,1972,182.0,https://api.congress.gov/v3/member/S001197/sponsored-legislation,557,https://api.congress.gov/v3/member/S001197/cosponsored-legislation,0,9
P000449,"Portman, Rob","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1993}, {'chamber': 'Senate', 'endYear': 2023, 'startYear': 2011}]}",Ohio,Republican,1955,726.0,https://api.congress.gov/v3/member/P000449/sponsored-legislation,2615,https://api.congress.gov/v3/member/P000449/cosponsored-legislation,15,13
T000461,"Toomey, Patrick","{'item': [{'chamber': 'House of Representatives', 'endYear': 2005, 'startYear': 1999}, {'chamber': 'Senate', 'endYear': 2023, 'startYear': 2011}]}",Pennsylvania,Republican,1961,541.0,https://api.congress.gov/v3/member/T000461/sponsored-legislation,1533,https://api.congress.gov/v3/member/T000461/cosponsored-legislation,7,13
